"Product.Key","Product.VLongDescription"
11,"Chrm Heavy Duty Triple Sorter chrm w/wheels 3bags Product Dimensions: 18 in L x 30.75 in W x 32 in H (45.7 cm L x 78.1 cm W x 81.3 cm H) 14.8lbs/6.71kgs    Chrome 4 black rubber wheels (2 lock) steel tube:25.4mm diam 3 6oz. White bleached TC bags.  4 black rubbergrip hooks & 2 metal handles per bag bags must have strong seams and be completely sewn.  Bag dimensions: Front - 22.5"" H x 15""W. Side - 19"" H x 9"" L.    1pc/color box: 19 in L x 3.6  in W x 30  in H (48.3 cm L x 9.1 cm W x 76.2 cm H) 14.8lbs/6.71kgs  3pcs/master carton: 30.5 in L x 8.25 in W x 20.25 in H (77.5 cm L x 21 cm W x 51.4 cm H) 44.4lbs/20.14kgs sorter Sorters  White  A"
12,"Adj. Height Laundry Center chrm+blk w/casters 1bar 3bags 16.5x32.25x41.5-67.5""(41.9x81.9x161.3cm) steel tube: .88"" diam chrome & black powder coat black plastic fits 4blk casters (2lk) 1 hang bar 2  bars w/t-bar 3 wht bleach 6oz TC bags h&ec Bag diamensions 25.5"" high x 15' deep on side 28.5 high on side including velcro hanger x 10"" wide.  1pc/color box: 35x9.25x3.4""(88.9x23.5x8.6cm)   3 pieces per master carton  * NEED BETTER BAG sorter Sorters  Black  B"
13,"Chrome Folding Garment Rack Collapse frame chrm w/casters 34.65 l x18.31 w x67.91 h""(88 l x46.5 w x172.5 h cm) chrm collapse bar 4 blk casters (2 lk) square tubes: 20mm + 15.9mm + 12.7mm diam max.wt 000  1pc color box:41.2x13x2"" (104.6x33x5cm) 3 box/carton master:41.9x13.5x6.9"" (106.4x34.2x17.5cm) garment rack Garment Rack  Chrome plated steel  C"
14,"Chrome Garment Rack adj ht-exp chrm w/casters  garment rack Garment Rack  Chrome plated steel  C"
15,"46"" wide top shelf Storage Closet w/ top shelf D-zip PE wndw 46x19.69x68.90""(116.84x50x175cm) tube:16x0.33mm metal w/black powdercoat black plastic base pieces; cover: 60g non-woven white w/white zip PE window fabric shelf 1pc/color box storage closet Wardrobes    "
16,"27"" storage closet w/organizer 12 pckt tan corner zip 27x18.1x62.2""(70x46x158cm).  Tube: 15*.24mm metal w/black pcoat black plastic feet black plastic connect; polyester/oxford cloth cover: 75g tan w/brown trim white zip 9 shoe slots  1pc color box: 82x25x6.5cm(32”x9.8”x2.6”) 5/carton master:83.5x34.5x27(32.9”x13.6”x10.6”) storage closet Wardrobes  Beige/Khaki  B"
17,"36 in wide storage closet 36 in Wide Storage Closet 36x19.7x63""(91.44x50x160cm) tube: 15x0.24mm metal w/white powdercoat white plastic base pieces; cover: 75g non-woven white w/white zip 1pc color box size:36”x10”x2.95”(91.2x25.5x7.5cm) 5/carton master: 36.8x18x11""(93.50x45.50x28cm) White base as per specification PEVA top  This wardrobe is rated at 50 lbs on hanging bar evenly distributed.  Artwork Version: 100518 storage closet Wardrobes  White  B"
18,"60 in W 2-door storage closet 18 pckts 2 D-zip tan  storage closet Wardrobes  Beige/Khaki  A"
19,"30""w top shelf storage closet  2-zip roll door dk blu w/wht 29.5x19.7x74.8""(75x50x190cm)tube: .57"" diam metal w/black powdercoat black plastic connectors 3 black metal wire shelf .10"" diam; cover: 75g non-wov dark blue w/white trim white zipstraps w/hook and loop connection to secure door white ties at bottom 1pc color box:29.5x20.5x2.6""(75x51.5x6.5cm) 5/carton master:30x14.5x21.5""(76.2x36.8x54.6cm) storage closet Wardrobes  Blue  C"
20,"43""W 2-door w/drawers wardrobe 2 door 2 drwr shelves tan 43.3 x 18.1 x 70.9"" (110x46x180cm)   16 x 0.5mm Black Tubes: 0.5 thickness +15 x 0.5mm hook metal w/blk pcoat blk wire grid shelves blk plstc connectors 2 drawers tan w/dk brn trim magnet on door;   Cover: 80g Polyester Oxford Cloth   1pc color box: 35.8 x 23.2 x 6"" (91 x 59 x 15cm) 2pcs/master: 36.4. x 12.6 x 24""(92.5 x 32 x 61 cm) storage closet Wardrobes  Beige/Khaki  A"
21,"2-Tier Mesh Top Drying Rack 33'2-tierslv pcoat mesh 41.5"" h x 23.5"" w x 17"" d ; silver powder coat white mesh shelf steel tube:  PMS 294 fitting; rubber feet; 1pc/shrink; 31x24x2.5""(78.7x61x6.4cm) 4pc/carton master:31.5x24.5x9.3""(80x62.3x23.6cm) drying rack Drying Racks Drying racks indoor Silver  C"
22,"3-Tier Mesh Top Drying Rack 48'3-tierslv pcoat mesh  drying rack Drying Racks Drying racks indoor Silver  C"
23,"3 Tier Rolling Household Cart wht pcoat 3bskt casters 7.9x31.3x23.2""(20x79.5x59cm) steel tube:12x.6mm; Wire: 2.5/2mm;white powdercoat Color box:   Inner color box : 30.5"" h x 8.75"" w x 3.75"" d. 4 lbs 7 oz each  Master 4 pc. 31.25"" h x 9.5"" w x 16"" d. 20 lbs.  Current artwork version:100830  ** Artwork needs to be updated per Joe 8/24/11 ** laundry cart Laundry Carts and Carts  White  A"
24,"18 Pair OTD Shoe Rack 2 hooks 6 level w/6 shoe hold 62.75"" h x22"" w x5.5""d (160x56.5x14.5cm) wht pcoat metal w/6 attach shoe hold 2 Tube: 12x0.6mm; Wire: 4/3.8/2.8mm 2 otd hooks 1pc/color box 23.25"" h x 6.75"" w x 2.35"" d. 3lbs 1oz each. master: 7.5"" h x 8.5"" w x 24"" d. 3-pc per master. 11 lbs total shoe rack Shoe Rack  White  C"
25,"9 Pair Shoe Rack-White Wire 1-tier 18  loops wht pcoat 22.2x16.2x9.4""(56.2x41.2x23.8cm); 1.5lbs product weight / 1.95lbs packaged weight  2 Sides White Powder coat Tube: 12x0.6mm with plastic white cap  Loop Wire: 4/3.8/2.8mm white powder coat  1pc/color box 7.6x25x2.4""(19x6x63.5cm) no tape on color box must be glued securely  3pcs/master carton 64.7L x 19W x 20.9H cm    1x40'cy loading capacity: 7000pcs 	  	  	  	  	  	   shoe rack Shoe Rack  White  B"
26,"4 Tier Accessory Shelf- white White Powder Coating 24"" w.x12"" dx28""H(62x30x70cm); 4-tier white wire rack side /16 plastic attachments w/2 hole for shelves; 4 shelves   1 piece per color box  3 pieces per master carton  Tube Dia 13.20 mm  Outside wire dia 3.52 mm  Inside wire dia 2.16 mm  Load test 4 kgs    Product Dimensions: 24.8 in L x 11.8 in W x 27.6 in H /63 cm L x 30 cm W x 70.1 cm H 4.41lbs/2kgs  Color: white  Materials of Construction: steel Tube: 12x0.6mm w/16 plastic attachments w/2 hole for shelves; 4 shelves Wire 4/1.8mm    PACKAGING  Artwork Brand - HCD  1 pcs/retail unit: 12.8 in L x 2.76 in W x 25.2 in H (32.5 cm L x 7 cm W x 64 cm H) 5.16lbs/2.34kgs UPC 811434011728  Retail Packaging: color box   Assembly is required. All components must be marked with removable labels that match the component letter on the HCD instruction sheet.  3 pcs/20-level Box: 25.71 in L x 9.06 in W x 13.58 in H (65.3 cm L x 23 cm W x 34.5 cm H) 16.73lbs/7.589kgs GTIN 20811434011722GTIN label required    Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash burrs cracks dents scratches sharp or rough edges poor finishing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+5%/-0%).  - Master Carton must pass ISTA-1A carton drop test  - Must pass BV Testing US 16 CFR Part 1303  (Lead Paint) under CPSIA  - Materials used in this product or packaging CANNOT contain any chemicals listed in Prop 65 closet rack Shoe Rack  White  A"
27,"Expandable Shoe Rack- white 2-tier expand wht pcoat 15"" h x23-44"" w x9""d (38.4x62-118x23.1cm) 2-tier wht pcoat metal base: metal tube .65"" diam notched side piecesexpand. Tubes: .65"" diam w/plstc attch 1pc/color box 10.15x25x2.2""(25.5x5.5x63cm) 3/carton master: 25.75x7x10.5""(64.5x27x34.8cm)    1x40'cy loading capacity: 6300 pcs	  	  	  Expands from 24-44 inches wide stackable design 2-tier frame  Product Dimensions: 15.1 in L x 44 in W x 9.1 in H /38.4 cm L x 111.8 cm W x 23.1 cm H 2.43lbs/1.1kgs  Color: white  Materials of Construction: powder coated iron steel white end pieces   Component Materials Dimensions Weights: 0.65"" diameter metal tube (16/13x0.6mm notched side pieces plastic end caps    PACKAGING  Artwork Brand - HCD  1 pcs/retail unit: 24.5 in L x 2.5 in W x 10 in H (62.2 cm L x 6.4 cm W x 25.4 cm H) 3.04lbs/1.38kgs UPC 811434011674  Retail Packaging:  4-color box   Assembly is required. All components must be marked with removable labels that match the component letter on the HCD instruction sheet.  3 pcs/20-level Box: 26 in L x 6.75 in W x 9.75 in H (66 cm L x 17.1 cm W x 24.8 cm H) 13.5lbs/6.124kgs GTIN 20811434011678GTIN label required    Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard B/C Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash burrs cracks dents scratches sharp or rough edges poor finishing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Master Carton must pass ISTA-1A carton drop test  - Materials used in this product or packaging CANNOT contain any chemicals listed in Prop 65  - Load Test: Holds claimed load (or 20 lbs) with no permanent deformation	  	  	   shoe rack Shoe Rack  White  B"
28,"Tabletop Ironing Board w/rest Mesh top w/irest collapse Product Dimensions: 31 in L x 12 in W x 6 in H /78.7 cm L x 30.5 cm W x 15.2 cm H 4.52 lbs/ 2.05 kgs  Color: White frame/Blue Stripe  Materials of Construction: white powder coated steel mesh top 0.6mm  5mm foam pad 100% cotton cover blue stripe; round collapsible Leg: 19mm diam ht. 6.1""(15.5cm) white metal iron rest    PACKAGING  Artwork Brand - HCD  1 pcs/retail unit: 12 in L x 1.75 in W x 40 in H (30.48 cm L x 4.445 cm W x 101.6 cm H) 4.47 lbs/2.03 kgs UPC 811434012947  Retail Packaging: color card with heavy-duty shrink wrap  6 pcs/20-level Box: 40.50 in L x 12.75 in W x 10 in H (102.87 cm L x 32.385 cm W x 25.4 cm H) 29.065 lbs/ 13.18 kgs GTIN 20811434012941GTIN label required  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads poor sewing burrs cracks dents scratches sharp or rough edges poor finishing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Master Carton must pass ISTA-1A carton drop test  - Materials used in this product or packaging CANNOT contain any chemicals listed in Prop 65  ADDITIONAL TESTING:  - Stability Test: Does not tip when a 10 lb weight is placed on board  - Strength Ironing Surface: No damage or deformation when a 50 lb weight is loaded in the cneter of the board  - Strength Iron Rest: No damage or deformation when a 4.5 lb weight is loaded on the iron rest   Ironing Board Ironing Boards  Turquoise/Aqua  B"
29,"Foldable Ironing Board foldable PlstcMesh top blu Foldable Ironing Board  Product Dimensions: 32.09 in L x 12 in W x 8.07 in H /81.5 cm L x 30.5 cm W x 20.5 cm H 3.831 lbs/1.738 kgs  Color: White frame/Blue Stripe cover  Materials of Construction: plastic mesh top 5mm foam 100% cotton blue stripe steel plastic; top length: 32""; top width: 12""; diameter of Round Leg: Ф12; total height: 21 cm; thickness of underlay: 5mm; cloth cover: 100% cotton; white powder coat finish; black cap on bottom of the legs folds with metal hinge retractable  silver metal iron rest    PACKAGING  Artwork Brand - HCD  1 pcs/retail unit: 13.8 in L x 3.55 in W x 20.4 in H (35.052 cm L x 9.017 cm W x 51.816 cm H) 3.82 lbs/1.73 kgs UPC 811434012923  Retail Packaging:  Reinforced peggable heavy-duty bag with color j-card  6 pcs/20-level Box: 19.95 in L x 17.6 in W x 13.1 in H (50.673 cm L x 44.704 cm W x 33.274 cm H) 24.48 lbs/11.1 kgs GTIN 20811434012927GTIN label required  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads poor sewing burrs cracks dents scratches sharp or rough edges poor finishing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+5%/-0%).  - Master Carton must pass ISTA-1A carton drop test  - Materials used in this product or packaging CANNOT contain any chemicals listed in Prop 65  - Must pass load test - Actual load 50lbs/22.68kgs on center without failure  - Must pass load test - Actual load 4.5lbs/2.05kgs on iron rest without failure  - Cycle Test (folding): fold and unfold during 20 cycles without damage or deformation Ironing Board Ironing Boards  Blue  A"
30,"Wooden Tabletop Ironing Board Wood top collapse leg blu Wooden Tabletop Ironing Board  Product Dimensions:  31 in L x 12 in W x 3.26 in H /78.7 cm L x 30.5 cm W x 8.3 cm H 4.34lbs/1.97kgs  Color: White frame/Blue cover  Materials of Construction: steel 100% cotton blue cover (Cotton Pantone 16-4610 TCX) Peg Leg: 8mm diam P2 wood foam cotton P2 Wood; top length: 31""; top width: 12""; top 12mm thick; diameter of Round Leg: Ф28; total height: 8cm; thickness of foam: 5mm; cloth cover: cotton fabric; white powder coat finish; black cap on bottom of the legs  Screws: Dia. 4mm x length 10mm (attach legs to board) white powder coat black cap  Factory must use materials that are certified to pass California Code 93120 and provide certification upon inspection.   P2 board Code 93120    Component Materials Dimensions Weights:    Packaging:  Artwork Brand - HCD  1 pcs/retail unit: 12.2 in L x 1.6 in W x 31.25 in H (30.988 cm L x 4.064 cm W x 79.375 cm H) 4.395 lbs/1.99 kgs  UPC 811434012930  Retail Packaging: 1/pc shrink - 4-color printed card Must have quality shrinkwrap: clean look with non-visble seams.  6 pcs/20-level Box: 32 in L x 8.25 in W x 13.15 in H (81.28 cm L x 20.955 cm W x 33.401 cm H) 28.605 lbs/12.98 kgs  5-Ply A/B flute Cardboard sealed with transparent gummed tape no staples no paper tape no nylon banding GTIN 20811434012934  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Master Carton/Shipper Box: 5-Ply corrugated cardboard A/B Flute.    Functional/Product Testing:  -Workmanship/Appearance/Function: Product must be free from any color deviation scratches dirt excess glue or broken or broken pieces  - Item must function according to its intended design.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+5%/-0%).  - Master Carton must pass ISTA-1A carton drop test  - Materials used in this product or packaging CANNOT contain any chemicals listed in Prop 65  - Additional product testing required:  - Unit Weight: 2.15kg Shall be with +/-5% tolerance  - Stability Test: Item placed on flat glass surface and must stand even and should not wobble  - Loading Test: Must pass loading test: 50 lbs for 1 hour on center  - Loading Test: Must withstand 25lbs for 5 minutes.  - Moisture Content Test: Shall be within 8%-12%  - Must pass tackiness for surface: no paint drop  - Must pass tilt resistance: Hold at 10 degrees with no tipping  - No product color deviation  - Must not have packaging material deviation  - Must have washing label  - Must have strong flap glue     Ironing Board Ironing Boards  Blue  B"
31,"Plastic Ironing Board PlstcMesh top orng stripe Product Dimensions: 54 in L x 13 in W x 35.4 in H (137.2 cm L x 33 cm W x 89.9 cm H) 7.49lbs/3.4kgs  Color: orange with white stripes  Materials of Construction:  Plastic Mesh top: 7mm foam pad 100% cotton orange stripe T-Leg: 28mm diam adj.ht. 27-35.4""(90cm) white powdercoat steel frame grey caps    PACKAGING  Artwork Brand - HCD  1 pcs/retail unit: 14 in L x 58.25 in W x 2.75 in H (35.56 cm L x 147.955 cm W x 6.985 cm H) 9.45 lbs/4.29 kgs UPC 811434012954  Retail Packaging: Color card with heavy-duty shrinkwrap  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.     FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads burrs cracks dents scratches sharp or rough edges poor finishing poor sewing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Must pass ISTA-1A carton drop test  - Materials used in this product or packaging CANNOT contain any chemicals listed in Prop 65  - Additional product testing required:  - Cycle Test (folding): fold and unfold during 20 cycles without damage or deformation  - Stability (Loaded: Does not tip when a 10 lb weight is placed in each of 4 locations with ironing board raised to the highest level  - Tilt Resistance: Does not tip when inclined at 10 degrees in the direction of least stability  - Strength – Ironing Surface: No damage or deformation when a 50 lb weight is loaded in the center of the board   Ironing Board Ironing Boards  Orange  B"
32,"Ironing Board w/rest PlstcMesh top w/irest orng Ironing Board w/rest  Product Dimensions: (54x13) 62 in L x 13 in W x 26-35.5 in H (157.5 cm L x 33 cm W x 36-90.4 cm H) with iron rest extended  7.67 lbs/3.48 kgs  Color: blue/yellow stripes  Materials of Construction: Plastic Mesh top: .8mm 7mm foam pad 100% cotton blue/yellow wave pattern t-Leg: 28mm diam adjustable height 26""-35.6""(88cm) white powdercoat grey caps zinc retractable metal iron rest (62"" L with iron rest extended)    PACKAGING  1 pcs/retail unit: 3 in L x 58 in W x 13.5 in H (7.62 cm L x 147.35 cm W x 34.29 cm H) 9.78 lbs/4.44 kgs  UPC 811434012961  Retail Packaging: color card with heavy-duty shrink  Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads burrs cracks dents scratches sharp or rough edges poor finishing poor sewing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Must pass ISTA-1A carton drop test  ADDITIONAL TEST:  - Cycle Test: Open and close during 20 cycles without damage or deformation  - Tilt Resistance: Does not tip when inclined at 10 degrees in the direction of least stability  - Stability (Loaded): Does not tip when a 10 lb weight is placed in each of 4 locations with ironing board raised to the highest level  - Strength – Ironing Surface: No damage or deformation when a 50 lb weight is loaded in the center of the board  - Strength – Iron Rest: No damage or deformation when a 4.5 lb weight is loaded on the iron rest     Ironing Board Ironing Boards  Open Blue  B"
33,"Over The Door Ironing Board OTDfolding MetalMesh top blue Over The Door Ironing Board  Product Dimensions: 42 in L x 14 in W/106.7 cm L x 35.6 cm W 7.45lbs/3.38kgs  Color: blue  Materials of Construction: Metal Mesh Top: 0.8mm 7mm foam pad 100% cotton cover blue; Over-the-Door rounded tube:19/22"";  white powdercoat 2 white powdercoat hooks hinge to fold up    PACKAGING  1 pcs/ecom shipper box: 17 in L x 2 in W x 49.5 in H ( 43.18 cm L x 5.08 cm W x 125.73 cm H) 7.45lbs/3.38kgs UPC 811434013500  Retail Packaging:  Color card with heavy-duty shrink wrap cardboard insert; brown box with white UPC label black printing     Shipping marks on 2 sides of shipping carton and printed according to Honey-Can-Do requirements.  Ecomm Shipper Box: 5-Ply corrugated cardboard A/B Flute; must pass ISTA-3A carton drop test    FUNCTIONAL TESTING:  - Item must function according to its intended design.  - Item must be free from defects in materials or workmanship; such as untrimmed flash untrimmed threads burrs cracks dents scratches sharp or rough edges poor finishing poor sewing dirty marks on product or packaging missing or broken pieces and other visual or functional defects.  - Must pass UPC Scannable Test.  - Must pass unit size check and unit weight check with the tolerance (+/-5%).  - Must pass ISTA-3A carton drop test  ADDITIONAL TESTING:  - Cycle Test (folding): Open and close during 20 cycles without damage or deformation  - Strength – Ironing Surface: No damage or deformation when a 30 lb weight is loaded in the center of the board  - Stability (Loaded): Does not tip when a 10 lb weight is placed in each of 4 locations with ironing board raised to the highest level Ironing Board Ironing Boards  Blue  C"
34,"Ironing Board Cover 4mm pad 47x143cm w/ 4mm pad 47x143cm; silver coated w/ 4mm Foam pad; 6 piece per carton Ironing Board Cover Ironing Board Covers    D"
35,"Silicone coated IBC Lite.Use Slv silicone 54x15""(137.16cmx38.1cm) 100% cotton slv silicone coat no pad lite use drawstring 1pc/PVC bag: .50x9.5x8""(1.3x24.1x20.3cm) 6 bxs/carton 108pcs/carton box: 10.25x8.4x3""(26x21.3x7.6cm) Ironing Board Cover Ironing Board Covers    D"
36,"standard cover natural Mod.Use Nat 6mm Foam 54X15""(137.16x38cm) 6mm foam pad 100% cotton nat. mod. Use elastic nose sure fit ; 1pc 4"" h x 10"" w x 4"" d each .9 oz.   Master 6 pc 8"" h x 10.5"" w x 13"" d. 4 lbs Ironing Board Cover Ironing Board Covers Standard 6mm foam pad Natural  D"
37,"Premium Cover HCD Blue Freq.Use Blu 4mm Fiber 54X15""(137.16x38cm)100% cottonPMS000 blu 4mm fiber pad freq use elastic nose sure fit 1pc 4"" h x 10"" w 4"" d .9 oz each  Master 6 pc  8"" h x 10.5"" w x 13"" d 4 lbs Ironing Board Cover Ironing Board Covers premium 4mm fiber pad Blue  D"
38,"Superior Cover Stripes HeavyUse Stripe 6mm Fiber 54X15""(137.16x38cm) 100% cotton stripe pattern 6mm fiber  heavy use elastic nose sure fit 1pc 4""h x 10"" w x 4"" d. .6 oz each.  Master 6 pc. 8"" h x 10.5"" w 13"" d. 4.5 lbs Ironing Board Cover Ironing Board Covers superior 6mm fiber pad Open Blue  D"
